0 0 0,0 1,0 2,0 3,0 4,0 5,0 6,0 7,0
53 0 7,-2 6,-2 5,-2 5,-3 4,-3 3,-3 2,-3 2,-4
54 0 8,-2 7,-2 6,-2 5,-2 5,-3 4,-3 3,-3 2,-3
55 0 7,-2 6,-2 5,-2 5,-3 4,-3 3,-3 2,-3 1,-3
56 0 8,-2 7,-2 6,-2 5,-2 5,-3 4,-3 3,-3 2,-3
57 0 8,-2 7,-2 6,-2 5,-2 5,-3 4,-3 3,-3 2,-3
58 0 8,-2 7,-2 6,-2 5,-2 5,-3 4,-3 3,-3 2,-3
59 0 7,-2 6,-2 5,-2 5,-3 4,-3 3,-3 2,-3 2,-2
60 0 6,-2 5,-2 5,-3 4,-3 3,-3 2,-3 2,-2 1,-2
61 0 6,-2 5,-2 5,-3 4,-3 3,-3 2,-3 2,-2 1,-2
62 0 6,-2 5,-2 5,-3 4,-3 3,-3 2,-3 2,-2 1,-2
63 0 6,-3 6,-2 5,-2 5,-3 4,-3 3,-3 2,-3 2,-2
64 0 6,-3 6,-2 5,-2 5,-3 4,-3 3,-3 2,-3 2,-2
65 0 6,-3 6,-2 5,-2 5,-3 4,-3 3,-3 2,-3 2,-2
66 0 6,-3 6,-2 5,-2 5,-3 4,-3 3,-3 2,-3 2,-2
67 0 6,-4 6,-3 6,-2 5,-2 5,-3 4,-3 3,-3 2,-3
68 0 6,-3 6,-2 5,-2 5,-3 4,-3 3,-3 2,-3 1,-3
69 0 6,-3 6,-2 5,-2 5,-3 4,-3 3,-3 2,-3 1,-3
70 0 6,-2 5,-2 5,-3 4,-3 3,-3 2,-3 1,-3 1,-2
71 0 5,-2 5,-3 4,-3 3,-3 2,-3 1,-3 1,-2 0,-2
72 0 5,-3 4,-3 3,-3 2,-3 1,-3 1,-2 0,-2 0,-3
73 0 5,-3 4,-3 3,-3 2,-3 1,-3 1,-2 0,-2 0,-3
74 0 5,-3 4,-3 3,-3 2,-3 1,-3 1,-2 0,-2 0,-3
75 0 5,-3 4,-3 3,-3 2,-3 1,-3 1,-2 0,-2 0,-3
76 0 5,-3 4,-3 3,-3 2,-3 1,-3 1,-2 0,-2 0,-3
77 0 5,-3 4,-3 3,-3 2,-3 1,-3 1,-2 0,-2 0,-3
78 0 6,-3 5,-3 4,-3 3,-3 2,-3 1,-3 1,-2 0,-2
79 0 5,-3 4,-3 3,-3 2,-3 1,-3 1,-2 0,-2 0,-3
80 0 6,-3 5,-3 4,-3 3,-3 2,-3 1,-3 1,-2 0,-2
81 0 5,-3 4,-3 3,-3 2,-3 1,-3 1,-2 0,-2 0,-1
82 0 4,-3 3,-3 2,-3 1,-3 1,-2 0,-2 0,-1 -1,-1
83 0 5,-3 4,-3 3,-3 2,-3 1,-3 1,-2 0,-2 0,-1
84 0 4,-3 3,-3 2,-3 1,-3 1,-2 0,-2 0,-1 0,0
85 0 4,-3 3,-3 2,-3 1,-3 1,-2 0,-2 0,-1 0,0
86 0 3,-3 2,-3 1,-3 1,-2 0,-2 0,-1 0,0 0,1
87 0 2,-3 1,-3 1,-2 0,-2 0,-1 0,0 0,1 1,1
88 0 1,-3 1,-2 0,-2 0,-1 0,0 0,1 1,1 2,1
89 0 1,-4 1,-3 1,-2 0,-2 0,-1 0,0 0,1 1,1
90 0 1,-3 1,-2 0,-2 0,-1 0,0 0,1 1,1 1,0
91 0 1,-3 1,-2 0,-2 0,-1 0,0 0,1 1,1 1,0
92 0 1,-4 1,-3 1,-2 0,-2 0,-1 0,0 0,1 1,1
93 0 2,-4 1,-4 1,-3 1,-2 0,-2 0,-1 0,0 0,1
94 0 2,-3 2,-4 1,-4 1,-3 1,-2 0,-2 0,-1 0,0
95 0 2,-2 2,-3 2,-4 1,-4 1,-3 1,-2 0,-2 0,-1
96 0 2,-3 2,-4 1,-4 1,-3 1,-2 0,-2 0,-1 1,-1
97 0 2,-3 2,-4 1,-4 1,-3 1,-2 0,-2 0,-1 1,-1
98 0 3,-3 2,-3 2,-4 1,-4 1,-3 1,-2 0,-2 0,-1
99 0 3,-4 3,-3 2,-3 2,-4 1,-4 1,-3 1,-2 0,-2
100 0 3,-4 3,-3 2,-3 2,-4 1,-4 1,-3 1,-2 0,-2
101 0 3,-4 3,-3 2,-3 2,-4 1,-4 1,-3 1,-2 0,-2
102 0 3,-4 3,-3 2,-3 2,-4 1,-4 1,-3 1,-2 0,-2
103 0 3,-3 2,-3 2,-4 1,-4 1,-3 1,-2 0,-2 0,-1
104 0 3,-3 2,-3 2,-4 1,-4 1,-3 1,-2 0,-2 0,-1
105 0 2,-3 2,-4 1,-4 1,-3 1,-2 0,-2 0,-1 0,0
106 0 2,-4 1,-4 1,-3 1,-2 0,-2 0,-1 0,0 1,0
107 0 3,-4 2,-4 1,-4 1,-3 1,-2 0,-2 0,-1 0,0
108 0 3,-5 3,-4 2,-4 1,-4 1,-3 1,-2 0,-2 0,-1
109 0 3,-5 3,-4 2,-4 1,-4 1,-3 1,-2 0,-2 0,-1
110 0 2,-5 3,-5 3,-4 2,-4 1,-4 1,-3 1,-2 0,-2
111 0 1,-5 2,-5 3,-5 3,-4 2,-4 1,-4 1,-3 1,-2
112 0 1,-5 2,-5 3,-5 3,-4 2,-4 1,-4 1,-3 1,-2
113 0 1,-5 2,-5 3,-5 3,-4 2,-4 1,-4 1,-3 1,-2
114 0 1,-6 1,-5 2,-5 3,-5 3,-4 2,-4 1,-4 1,-3
115 0 1,-5 2,-5 3,-5 3,-4 2,-4 1,-4 1,-3 0,-3
116 0 2,-5 3,-5 3,-4 2,-4 1,-4 1,-3 0,-3 0,-4
117 0 3,-5 3,-4 2,-4 1,-4 1,-3 0,-3 0,-4 0,-5
118 0 3,-6 3,-5 3,-4 2,-4 1,-4 1,-3 0,-3 0,-4
119 0 2,-6 3,-6 3,-5 3,-4 2,-4 1,-4 1,-3 0,-3
120 0 2,-7 2,-6 3,-6 3,-5 3,-4 2,-4 1,-4 1,-3
121 0 2,-8 2,-7 2,-6 3,-6 3,-5 3,-4 2,-4 1,-4
122 0 2,-7 2,-6 3,-6 3,-5 3,-4 2,-4 1,-4 1,-5
123 0 2,-6 3,-6 3,-5 3,-4 2,-4 1,-4 1,-5 0,-5
124 0 2,-6 3,-6 3,-5 3,-4 2,-4 1,-4 1,-5 0,-5
125 0 3,-6 3,-5 3,-4 2,-4 1,-4 1,-5 0,-5 0,-6
126 0 3,-5 3,-4 2,-4 1,-4 1,-5 0,-5 0,-6 -1,-6
127 0 3,-4 2,-4 1,-4 1,-5 0,-5 0,-6 -1,-6 -1,-5
128 0 3,-3 3,-4 2,-4 1,-4 1,-5 0,-5 0,-6 -1,-6
129 0 4,-3 3,-3 3,-4 2,-4 1,-4 1,-5 0,-5 0,-6
130 0 5,-3 4,-3 3,-3 3,-4 2,-4 1,-4 1,-5 0,-5
131 0 4,-3 3,-3 3,-4 2,-4 1,-4 1,-5 0,-5 -1,-5
132 0 4,-2 4,-3 3,-3 3,-4 2,-4 1,-4 1,-5 0,-5
133 0 4,-3 3,-3 3,-4 2,-4 1,-4 1,-5 0,-5 0,-4
134 0 4,-3 3,-3 3,-4 2,-4 1,-4 1,-5 0,-5 0,-4
135 0 4,-3 3,-3 3,-4 2,-4 1,-4 1,-5 0,-5 0,-4
136 0 4,-3 3,-3 3,-4 2,-4 1,-4 1,-5 0,-5 0,-4
137 0 4,-3 3,-3 3,-4 2,-4 1,-4 1,-5 0,-5 0,-4
138 0 3,-3 3,-4 2,-4 1,-4 1,-5 0,-5 0,-4 0,-3
139 0 3,-4 2,-4 1,-4 1,-5 0,-5 0,-4 0,-3 -1,-3
140 0 2,-4 1,-4 1,-5 0,-5 0,-4 0,-3 -1,-3 -1,-4
141 0 2,-5 2,-4 1,-4 1,-5 0,-5 0,-4 0,-3 -1,-3
142 0 2,-5 2,-4 1,-4 1,-5 0,-5 0,-4 0,-3 -1,-3
143 0 2,-5 2,-4 1,-4 1,-5 0,-5 0,-4 0,-3 -1,-3
144 0 2,-4 1,-4 1,-5 0,-5 0,-4 0,-3 -1,-3 -1,-2
145 0 2,-4 1,-4 1,-5 0,-5 0,-4 0,-3 -1,-3 -1,-2
146 0 1,-4 1,-5 0,-5 0,-4 0,-3 -1,-3 -1,-2 -1,-1
147 0 1,-3 1,-4 1,-5 0,-5 0,-4 0,-3 -1,-3 -1,-2
148 0 1,-3 1,-4 1,-5 0,-5 0,-4 0,-3 -1,-3 -1,-2
149 0 1,-3 1,-4 1,-5 0,-5 0,-4 0,-3 -1,-3 -1,-2
150 0 1,-4 1,-5 0,-5 0,-4 0,-3 -1,-3 -1,-2 -1,-1
151 0 1,-4 1,-5 0,-5 0,-4 0,-3 -1,-3 -1,-2 -1,-1
152 0 1,-4 1,-5 0,-5 0,-4 0,-3 -1,-3 -1,-2 -1,-1
153 0 1,-5 0,-5 0,-4 0,-3 -1,-3 -1,-2 -1,-1 0,-1
154 0 1,-5 0,-5 0,-4 0,-3 -1,-3 -1,-2 -1,-1 0,-1
155 0 1,-6 1,-5 0,-5 0,-4 0,-3 -1,-3 -1,-2 -1,-1
156 0 2,-6 1,-6 1,-5 0,-5 0,-4 0,-3 -1,-3 -1,-2
157 0 2,-7 2,-6 1,-6 1,-5 0,-5 0,-4 0,-3 -1,-3
158 0 3,-7 2,-7 2,-6 1,-6 1,-5 0,-5 0,-4 0,-3
159 0 2,-7 2,-6 1,-6 1,-5 0,-5 0,-4 0,-3 1,-3
160 0 2,-6 1,-6 1,-5 0,-5 0,-4 0,-3 1,-3 1,-2
161 0 1,-6 1,-5 0,-5 0,-4 0,-3 1,-3 1,-2 2,-2
162 0 1,-5 0,-5 0,-4 0,-3 1,-3 1,-2 2,-2 2,-1
163 0 0,-5 0,-4 0,-3 1,-3 1,-2 2,-2 2,-1 1,-1
164 0 0,-5 0,-4 0,-3 1,-3 1,-2 2,-2 2,-1 1,-1
165 0 -1,-5 0,-5 0,-4 0,-3 1,-3 1,-2 2,-2 2,-1
166 0 -1,-4 -1,-5 0,-5 0,-4 0,-3 1,-3 1,-2 2,-2
167 0 -1,-3 -1,-4 -1,-5 0,-5 0,-4 0,-3 1,-3 1,-2
168 0 -1,-3 -1,-4 -1,-5 0,-5 0,-4 0,-3 1,-3 1,-2
169 0 -1,-3 -1,-4 -1,-5 0,-5 0,-4 0,-3 1,-3 1,-2
170 0 -1,-2 -1,-3 -1,-4 -1,-5 0,-5 0,-4 0,-3 1,-3
171 0 -1,-2 -1,-3 -1,-4 -1,-5 0,-5 0,-4 0,-3 1,-3
172 0 -1,-2 -1,-3 -1,-4 -1,-5 0,-5 0,-4 0,-3 1,-3
173 0 -1,-3 -1,-4 -1,-5 0,-5 0,-4 0,-3 1,-3 1,-2
174 0 -1,-3 -1,-4 -1,-5 0,-5 0,-4 0,-3 1,-3 1,-2
175 0 -1,-3 -1,-4 -1,-5 0,-5 0,-4 0,-3 1,-3 1,-2
176 0 -1,-3 -1,-4 -1,-5 0,-5 0,-4 0,-3 1,-3 1,-2
177 0 -1,-4 -1,-5 0,-5 0,-4 0,-3 1,-3 1,-2 0,-2
178 0 -1,-5 0,-5 0,-4 0,-3 1,-3 1,-2 0,-2 -1,-2
179 0 0,-5 0,-4 0,-3 1,-3 1,-2 0,-2 -1,-2 -1,-1
180 0 0,-4 0,-3 1,-3 1,-2 0,-2 -1,-2 -1,-1 -2,-1
181 0 0,-4 0,-3 1,-3 1,-2 0,-2 -1,-2 -1,-1 -2,-1
182 0 -1,-4 0,-4 0,-3 1,-3 1,-2 0,-2 -1,-2 -1,-1
183 0 -1,-3 -1,-4 0,-4 0,-3 1,-3 1,-2 0,-2 -1,-2
184 0 -1,-3 -1,-4 0,-4 0,-3 1,-3 1,-2 0,-2 -1,-2
185 0 -1,-3 -1,-4 0,-4 0,-3 1,-3 1,-2 0,-2 -1,-2
186 0 -1,-4 0,-4 0,-3 1,-3 1,-2 0,-2 -1,-2 -1,-1
187 0 0,-4 0,-3 1,-3 1,-2 0,-2 -1,-2 -1,-1 -2,-1
188 0 1,-4 0,-4 0,-3 1,-3 1,-2 0,-2 -1,-2 -1,-1
189 0 1,-4 0,-4 0,-3 1,-3 1,-2 0,-2 -1,-2 -1,-1
190 0 0,-4 0,-3 1,-3 1,-2 0,-2 -1,-2 -1,-1 0,-1
191 0 0,-5 0,-4 0,-3 1,-3 1,-2 0,-2 -1,-2 -1,-1
192 0 0,-4 0,-3 1,-3 1,-2 0,-2 -1,-2 -1,-1 -1,0
193 0 1,-4 0,-4 0,-3 1,-3 1,-2 0,-2 -1,-2 -1,-1
194 0 1,-4 0,-4 0,-3 1,-3 1,-2 0,-2 -1,-2 -1,-1
195 0 2,-4 1,-4 0,-4 0,-3 1,-3 1,-2 0,-2 -1,-2
196 0 2,-4 1,-4 0,-4 0,-3 1,-3 1,-2 0,-2 -1,-2
197 0 2,-4 1,-4 0,-4 0,-3 1,-3 1,-2 0,-2 -1,-2
198 0 2,-3 2,-4 1,-4 0,-4 0,-3 1,-3 1,-2 0,-2
199 0 2,-4 1,-4 0,-4 0,-3 1,-3 1,-2 0,-2 0,-1
200 0 1,-4 0,-4 0,-3 1,-3 1,-2 0,-2 0,-1 1,-1
201 0 1,-4 0,-4 0,-3 1,-3 1,-2 0,-2 0,-1 1,-1
202 0 0,-4 0,-3 1,-3 1,-2 0,-2 0,-1 1,-1 2,-1
203 0 0,-4 0,-3 1,-3 1,-2 0,-2 0,-1 1,-1 2,-1
204 0 0,-3 1,-3 1,-2 0,-2 0,-1 1,-1 2,-1 3,-1
205 0 1,-3 1,-2 0,-2 0,-1 1,-1 2,-1 3,-1 3,0
206 0 1,-2 0,-2 0,-1 1,-1 2,-1 3,-1 3,0 3,1
207 0 1,-2 0,-2 0,-1 1,-1 2,-1 3,-1 3,0 3,1
208 0 0,-2 0,-1 1,-1 2,-1 3,-1 3,0 3,1 2,1
209 0 1,-2 0,-2 0,-1 1,-1 2,-1 3,-1 3,0 3,1
210 0 0,-2 0,-1 1,-1 2,-1 3,-1 3,0 3,1 2,1
211 0 1,-2 0,-2 0,-1 1,-1 2,-1 3,-1 3,0 3,1
212 0 1,-3 1,-2 0,-2 0,-1 1,-1 2,-1 3,-1 3,0
213 0 1,-4 1,-3 1,-2 0,-2 0,-1 1,-1 2,-1 3,-1
214 0 1,-3 1,-2 0,-2 0,-1 1,-1 2,-1 3,-1 4,-1
215 0 0,-3 1,-3 1,-2 0,-2 0,-1 1,-1 2,-1 3,-1
216 0 0,-3 1,-3 1,-2 0,-2 0,-1 1,-1 2,-1 3,-1
217 0 1,-3 1,-2 0,-2 0,-1 1,-1 2,-1 3,-1 3,0
218 0 1,-3 1,-2 0,-2 0,-1 1,-1 2,-1 3,-1 3,0
219 0 1,-2 0,-2 0,-1 1,-1 2,-1 3,-1 3,0 4,0
220 0 0,-2 0,-1 1,-1 2,-1 3,-1 3,0 4,0 4,1
221 0 0,-2 0,-1 1,-1 2,-1 3,-1 3,0 4,0 4,1
222 0 0,-2 0,-1 1,-1 2,-1 3,-1 3,0 4,0 4,1
223 0 0,-3 0,-2 0,-1 1,-1 2,-1 3,-1 3,0 4,0
224 0 1,-3 0,-3 0,-2 0,-1 1,-1 2,-1 3,-1 3,0
225 0 1,-3 0,-3 0,-2 0,-1 1,-1 2,-1 3,-1 3,0
226 0 0,-3 0,-2 0,-1 1,-1 2,-1 3,-1 3,0 3,1
227 0 0,-3 0,-2 0,-1 1,-1 2,-1 3,-1 3,0 3,1
228 0 -1,-3 0,-3 0,-2 0,-1 1,-1 2,-1 3,-1 3,0
229 0 -1,-3 0,-3 0,-2 0,-1 1,-1 2,-1 3,-1 3,0
230 0 -2,-3 -1,-3 0,-3 0,-2 0,-1 1,-1 2,-1 3,-1
231 0 -2,-2 -2,-3 -1,-3 0,-3 0,-2 0,-1 1,-1 2,-1
232 0 -2,-3 -1,-3 0,-3 0,-2 0,-1 1,-1 2,-1 2,0
233 0 -2,-3 -1,-3 0,-3 0,-2 0,-1 1,-1 2,-1 2,0
234 0 -1,-3 0,-3 0,-2 0,-1 1,-1 2,-1 2,0 3,0
235 0 0,-3 0,-2 0,-1 1,-1 2,-1 2,0 3,0 3,1
236 0 -1,-3 0,-3 0,-2 0,-1 1,-1 2,-1 2,0 3,0
237 0 0,-3 0,-2 0,-1 1,-1 2,-1 2,0 3,0 3,1
238 0 1,-3 0,-3 0,-2 0,-1 1,-1 2,-1 2,0 3,0
239 0 1,-3 0,-3 0,-2 0,-1 1,-1 2,-1 2,0 3,0
240 0 1,-2 1,-3 0,-3 0,-2 0,-1 1,-1 2,-1 2,0
241 0 2,-2 1,-2 1,-3 0,-3 0,-2 0,-1 1,-1 2,-1
242 0 1,-2 1,-3 0,-3 0,-2 0,-1 1,-1 2,-1 3,-1
243 0 1,-2 1,-3 0,-3 0,-2 0,-1 1,-1 2,-1 3,-1
244 0 1,-3 0,-3 0,-2 0,-1 1,-1 2,-1 3,-1 3,0
245 0 1,-2 1,-3 0,-3 0,-2 0,-1 1,-1 2,-1 3,-1
246 0 2,-2 1,-2 1,-3 0,-3 0,-2 0,-1 1,-1 2,-1
247 0 3,-2 2,-2 1,-2 1,-3 0,-3 0,-2 0,-1 1,-1
248 0 2,-2 1,-2 1,-3 0,-3 0,-2 0,-1 1,-1 1,0
249 0 2,-1 2,-2 1,-2 1,-3 0,-3 0,-2 0,-1 1,-1
250 0 2,-2 1,-2 1,-3 0,-3 0,-2 0,-1 1,-1 2,-1
251 0 2,-2 1,-2 1,-3 0,-3 0,-2 0,-1 1,-1 2,-1
252 0 1,-2 1,-3 0,-3 0,-2 0,-1 1,-1 2,-1 2,0
253 0 1,-2 1,-3 0,-3 0,-2 0,-1 1,-1 2,-1 2,0
254 0 1,-2 1,-3 0,-3 0,-2 0,-1 1,-1 2,-1 2,0
255 0 1,-3 0,-3 0,-2 0,-1 1,-1 2,-1 2,0 1,0
256 0 1,-3 0,-3 0,-2 0,-1 1,-1 2,-1 2,0 1,0
257 0 1,-4 1,-3 0,-3 0,-2 0,-1 1,-1 2,-1 2,0
258 0 1,-5 1,-4 1,-3 0,-3 0,-2 0,-1 1,-1 2,-1
259 0 2,-5 1,-5 1,-4 1,-3 0,-3 0,-2 0,-1 1,-1
260 0 2,-5 1,-5 1,-4 1,-3 0,-3 0,-2 0,-1 1,-1
261 0 2,-6 2,-5 1,-5 1,-4 1,-3 0,-3 0,-2 0,-1
262 0 2,-5 1,-5 1,-4 1,-3 0,-3 0,-2 0,-1 1,-1
263 0 1,-5 1,-4 1,-3 0,-3 0,-2 0,-1 1,-1 2,-1
264 0 1,-4 1,-3 0,-3 0,-2 0,-1 1,-1 2,-1 3,-1
265 0 1,-4 1,-3 0,-3 0,-2 0,-1 1,-1 2,-1 3,-1
266 0 1,-3 0,-3 0,-2 0,-1 1,-1 2,-1 3,-1 3,-2
267 0 1,-3 0,-3 0,-2 0,-1 1,-1 2,-1 3,-1 3,-2
268 0 1,-3 0,-3 0,-2 0,-1 1,-1 2,-1 3,-1 3,-2
269 0 1,-4 1,-3 0,-3 0,-2 0,-1 1,-1 2,-1 3,-1
270 0 1,-3 0,-3 0,-2 0,-1 1,-1 2,-1 3,-1 3,0
271 0 0,-3 0,-2 0,-1 1,-1 2,-1 3,-1 3,0 2,0
272 0 0,-3 0,-2 0,-1 1,-1 2,-1 3,-1 3,0 2,0
273 0 1,-3 0,-3 0,-2 0,-1 1,-1 2,-1 3,-1 3,0
274 0 0,-3 0,-2 0,-1 1,-1 2,-1 3,-1 3,0 3,1
275 0 0,-2 0,-1 1,-1 2,-1 3,-1 3,0 3,1 2,1
276 0 0,-1 1,-1 2,-1 3,-1 3,0 3,1 2,1 1,1
277 0 0,-1 1,-1 2,-1 3,-1 3,0 3,1 2,1 1,1
278 0 0,-1 1,-1 2,-1 3,-1 3,0 3,1 2,1 1,1
279 0 1,-1 2,-1 3,-1 3,0 3,1 2,1 1,1 1,2
280 0 2,-1 3,-1 3,0 3,1 2,1 1,1 1,2 2,2
281 0 2,-1 3,-1 3,0 3,1 2,1 1,1 1,2 2,2
282 0 3,-1 3,0 3,1 2,1 1,1 1,2 2,2 3,2
283 0 3,-1 3,0 3,1 2,1 1,1 1,2 2,2 3,2
284 0 3,0 3,1 2,1 1,1 1,2 2,2 3,2 4,2
285 0 3,1 2,1 1,1 1,2 2,2 3,2 4,2 5,2
286 0 3,0 3,1 2,1 1,1 1,2 2,2 3,2 4,2
287 0 3,-1 3,0 3,1 2,1 1,1 1,2 2,2 3,2
288 0 2,-1 3,-1 3,0 3,1 2,1 1,1 1,2 2,2
289 0 3,-1 3,0 3,1 2,1 1,1 1,2 2,2 3,2
290 0 3,0 3,1 2,1 1,1 1,2 2,2 3,2 3,3
291 0 3,0 3,1 2,1 1,1 1,2 2,2 3,2 3,3
292 0 3,1 2,1 1,1 1,2 2,2 3,2 3,3 4,3
293 0 3,0 3,1 2,1 1,1 1,2 2,2 3,2 3,3
294 0 2,0 3,0 3,1 2,1 1,1 1,2 2,2 3,2
295 0 1,0 2,0 3,0 3,1 2,1 1,1 1,2 2,2
296 0 0,0 1,0 2,0 3,0 3,1 2,1 1,1 1,2
297 0 1,0 2,0 3,0 3,1 2,1 1,1 1,2 0,2
298 0 0,0 1,0 2,0 3,0 3,1 2,1 1,1 1,2
299 0 1,0 2,0 3,0 3,1 2,1 1,1 1,2 1,3
300 0 2,0 3,0 3,1 2,1 1,1 1,2 1,3 2,3
301 0 2,0 3,0 3,1 2,1 1,1 1,2 1,3 2,3
302 0 3,0 3,1 2,1 1,1 1,2 1,3 2,3 2,2
303 0 3,1 2,1 1,1 1,2 1,3 2,3 2,2 3,2
304 0 2,1 1,1 1,2 1,3 2,3 2,2 3,2 4,2
305 0 1,1 1,2 1,3 2,3 2,2 3,2 4,2 4,1
306 0 1,2 1,3 2,3 2,2 3,2 4,2 4,1 3,1
307 0 0,2 1,2 1,3 2,3 2,2 3,2 4,2 4,1
308 0 0,1 0,2 1,2 1,3 2,3 2,2 3,2 4,2
309 0 0,1 0,2 1,2 1,3 2,3 2,2 3,2 4,2
310 0 -1,1 0,1 0,2 1,2 1,3 2,3 2,2 3,2
311 0 -1,1 0,1 0,2 1,2 1,3 2,3 2,2 3,2
312 0 -1,0 -1,1 0,1 0,2 1,2 1,3 2,3 2,2
313 0 -2,0 -1,0 -1,1 0,1 0,2 1,2 1,3 2,3
314 0 -1,0 -1,1 0,1 0,2 1,2 1,3 2,3 2,4
315 0 -1,0 -1,1 0,1 0,2 1,2 1,3 2,3 2,4
316 0 0,0 -1,0 -1,1 0,1 0,2 1,2 1,3 2,3
317 0 -1,0 -1,1 0,1 0,2 1,2 1,3 2,3 2,4
318 0 -1,0 -1,1 0,1 0,2 1,2 1,3 2,3 2,4
319 0 0,0 -1,0 -1,1 0,1 0,2 1,2 1,3 2,3
320 0 -1,0 -1,1 0,1 0,2 1,2 1,3 2,3 3,3
321 0 -2,0 -1,0 -1,1 0,1 0,2 1,2 1,3 2,3
322 0 -2,1 -2,0 -1,0 -1,1 0,1 0,2 1,2 1,3
323 0 -2,2 -2,1 -2,0 -1,0 -1,1 0,1 0,2 1,2
324 0 -2,1 -2,0 -1,0 -1,1 0,1 0,2 1,2 1,1
